watchlist_id,watch_type,entity_id,risk_level,action,reason_code,reason_description,status,effective_from,reported_by,reported_source,country,city
wl000030,CARD,4659152017774904,high,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:27:00,Fraud Team,Manual,India,Hyderabad
wl000031,CARD,5095493059660186,medium,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:30:00,AML Team,Manual,India,Bengaluru
wl000032,CARD,5696325953278771,medium,ADD,LOST_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:34:00,SOC,CRM,India,Chennai
wl000033,CARD,4138759271256639,critical,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:36:00,SOC,Manual,India,Mumbai
wl000034,CARD,5311091939284565,critical,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:40:00,Customer Care,Manual,India,Pune
wl000035,CARD,4355610399529709,medium,ADD,LOST_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:48:00,Fraud Team,CRM,India,Pune
wl000036,CARD,5570836821444885,high,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:51:00,SOC,Manual,India,Bengaluru
wl000037,CARD,5204618723460132,medium,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:53:00,AML Team,AML,India,Delhi
wl000038,CARD,5524914168601347,medium,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:54:00,Customer Care,External Feed,India,Mumbai
wl000039,CARD,5729293143866328,high,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:55:00,AML Team,Manual,India,Pune
wl000040,CARD,4627136111554268,high,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:59:00,Customer Care,CRM,India,Pune
wl000041,CARD,5430391171822783,high,ADD,SUSPICIOUS_ACTIVITY,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:01:00,Customer Care,AML,India,Bengaluru
wl000042,CARD,4845218230768105,medium,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:02:00,Customer Care,Manual,India,Delhi
wl000043,CARD,5916202232883777,critical,ADD,BLACKLISTED_MERCHANT,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:03:00,Fraud Team,AML,India,Pune
wl000044,CARD,4894346810548514,high,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:09:00,SOC,AML,India,Delhi
wl000045,CARD,4562137213865898,medium,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:11:00,AML Team,External Feed,India,Hyderabad
wl000046,CARD,5445189520284571,low,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:12:00,Fraud Team,CRM,India,Pune
wl000047,CARD,5033445056658836,medium,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:13:00,Customer Care,AML,India,Hyderabad
wl000048,CARD,4826068887189818,high,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:20:00,Customer Care,Manual,India,Bengaluru
wl000049,CARD,5459910229014760,high,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:21:00,Fraud Team,CRM,India,Hyderabad
wl000050,CARD,4272405593429679,medium,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:25:00,Fraud Team,AML,India,Delhi
wl000051,CARD,5618495931034137,low,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:27:00,Fraud Team,AML,India,Delhi
wl000052,CARD,4900696801867740,high,ADD,LOST_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:29:00,Fraud Team,CRM,India,Delhi
wl000053,CARD,5972154064176922,high,ADD,VELOCITY_FRAUD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:30:00,SOC,AML,India,Mumbai
wl000054,CARD,5352904228421023,medium,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:41:00,Fraud Team,CRM,India,Chennai
wl000055,CARD,5051553234159593,critical,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:44:00,Fraud Team,Manual,India,Delhi
wl000056,CARD,4045069176799351,high,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:46:00,Fraud Team,Manual,India,Hyderabad
wl000057,CARD,4054119986798070,medium,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:50:00,SOC,AML,India,Bengaluru
wl000058,CARD,4926932657327598,critical,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:51:00,AML Team,CRM,India,Pune
wl000059,CARD,5076502412095797,critical,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:54:00,Customer Care,AML,India,Hyderabad
wl000060,CARD,4574817006661554,high,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:55:00,AML Team,CRM,India,Pune
wl000061,CARD,4193592361337600,low,ADD,BLACKLISTED_MERCHANT,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:56:00,Fraud Team,External Feed,India,Mumbai
wl000062,CARD,5947174648877192,high,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:01:00,Customer Care,External Feed,India,Delhi
wl000063,CARD,4975147439742925,critical,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:03:00,Customer Care,CRM,India,Bengaluru
wl000064,CARD,4990139837354036,high,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:08:00,SOC,Manual,India,Chennai
wl000065,CARD,4009109391119268,medium,ADD,BLACKLISTED_MERCHANT,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:09:00,AML Team,CRM,India,Hyderabad
wl000066,CARD,5407663493396508,critical,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:10:00,Fraud Team,Manual,India,Mumbai
wl000067,CARD,5097921583503442,medium,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:11:00,Customer Care,AML,India,Hyderabad
wl000068,CARD,5113989868180977,low,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:25:00,AML Team,External Feed,India,Hyderabad
wl000069,CARD,4715534820128404,high,ADD,VELOCITY_FRAUD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:31:00,AML Team,CRM,India,Chennai
wl000070,CARD,5010651333872621,high,ADD,LOST_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:35:00,Fraud Team,AML,India,Bengaluru
wl000071,CARD,5133595616420590,low,ADD,SUSPICIOUS_ACTIVITY,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:36:00,AML Team,AML,India,Hyderabad
wl000072,CARD,5951003076205456,critical,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:40:00,Customer Care,External Feed,India,Bengaluru
wl000073,CARD,5104584743621307,critical,ADD,BLACKLISTED_MERCHANT,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:41:00,Customer Care,CRM,India,Bengaluru
wl000074,CARD,5134074517133952,critical,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:45:00,SOC,AML,India,Pune
wl000075,CARD,5339449530067761,high,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:50:00,Customer Care,Manual,India,Chennai
wl000076,CARD,4422319646300407,high,ADD,SUSPICIOUS_ACTIVITY,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:53:00,AML Team,AML,India,Bengaluru
wl000077,CARD,5117536170617131,critical,ADD,SUSPICIOUS_ACTIVITY,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:59:00,AML Team,External Feed,India,Delhi
wl000078,CARD,5133595616420590,critical,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:01:00,Fraud Team,CRM,India,Mumbai
wl000079,CARD,4606853615305158,critical,ADD,SUSPICIOUS_ACTIVITY,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:02:00,Customer Care,Manual,India,Mumbai
wl000080,CARD,4847609441283330,low,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:08:00,Fraud Team,AML,India,Delhi
wl000081,CARD,5067323182971684,medium,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:09:00,SOC,External Feed,India,Chennai
wl000082,CARD,4468135926648695,critical,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:10:00,Fraud Team,Manual,India,Mumbai
wl000083,CARD,5275208854749296,medium,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:11:00,SOC,CRM,India,Chennai
wl000084,CARD,4569040983665522,critical,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:13:00,AML Team,CRM,India,Chennai
wl000085,CARD,5110475412126781,high,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:15:00,Customer Care,CRM,India,Chennai
wl000086,CARD,4106987205061492,medium,ADD,VELOCITY_FRAUD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:18:00,AML Team,External Feed,India,Mumbai
wl000087,CARD,4280598262045050,critical,ADD,SUSPICIOUS_ACTIVITY,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:20:00,Customer Care,Manual,India,Pune
wl000088,CARD,4204339718956908,medium,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:22:00,Customer Care,Manual,India,Bengaluru
wl000089,CARD,5729949387430273,low,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:24:00,AML Team,Manual,India,Delhi
wl000090,CARD,5806533315377954,high,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:33:00,Fraud Team,CRM,India,Mumbai
wl000091,CARD,5758997571130550,high,ADD,BLACKLISTED_MERCHANT,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:36:00,AML Team,External Feed,India,Bengaluru
wl000092,CARD,5275208854749296,low,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:37:00,Fraud Team,AML,India,Hyderabad
wl000093,CARD,4464844941163182,low,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:44:00,Customer Care,CRM,India,Mumbai
wl000094,CARD,5025743263039753,critical,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:47:00,AML Team,AML,India,Bengaluru
wl000095,CARD,4003296334727277,high,ADD,BLACKLISTED_MERCHANT,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:48:00,AML Team,Manual,India,Mumbai
wl000096,CARD,5229231067245309,high,ADD,SUSPICIOUS_ACTIVITY,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:50:00,Customer Care,Manual,India,Hyderabad
wl000097,CARD,4905150267551253,medium,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:51:00,AML Team,External Feed,India,Bengaluru
wl000098,CARD,5747226408572164,critical,ADD,BLACKLISTED_MERCHANT,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:54:00,AML Team,CRM,India,Mumbai
wl000099,CARD,5181845184894762,low,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:55:00,AML Team,AML,India,Pune
wl000100,CARD,5456804473149767,critical,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:58:00,Fraud Team,CRM,India,Hyderabad
wl000101,CARD,5719855460158510,critical,ADD,SUSPICIOUS_ACTIVITY,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:59:00,SOC,Manual,India,Pune
wl000102,CARD,4937346706562727,high,ADD,LOST_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:01:00,SOC,AML,India,Hyderabad
wl000103,CARD,5861634212545089,critical,ADD,VELOCITY_FRAUD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:04:00,SOC,AML,India,Pune
wl000104,CARD,5302321298338162,high,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:08:00,Fraud Team,CRM,India,Pune
wl000105,CARD,4926249451475415,high,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:11:00,Fraud Team,External Feed,India,Chennai
wl000106,CARD,4058721055247287,high,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:13:00,Fraud Team,AML,India,Chennai
wl000107,CARD,4535748595325933,critical,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:19:00,Customer Care,CRM,India,Pune
wl000108,CARD,4878444835488474,low,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:20:00,SOC,External Feed,India,Pune
wl000109,CARD,5078263337389876,medium,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:24:00,Fraud Team,Manual,India,Delhi
wl000110,CARD,4468135926648695,medium,ADD,LOST_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:26:00,Customer Care,Manual,India,Bengaluru
wl000111,CARD,4614978403690030,high,ADD,LOST_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:28:00,Fraud Team,External Feed,India,Hyderabad
wl000112,CARD,5250583334303115,high,ADD,VELOCITY_FRAUD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:30:00,AML Team,CRM,India,Bengaluru
wl000113,CARD,4614978403690030,critical,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:31:00,Customer Care,CRM,India,Pune
wl000114,CARD,4847609441283330,high,ADD,SUSPICIOUS_ACTIVITY,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:32:00,SOC,External Feed,India,Pune
wl000115,CARD,5949708905836687,high,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:35:00,AML Team,CRM,India,Delhi
wl000116,CARD,5111615280988519,high,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:40:00,SOC,External Feed,India,Bengaluru
wl000117,CARD,4595749885582984,high,ADD,VELOCITY_FRAUD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:41:00,SOC,AML,India,Mumbai
wl000118,CARD,4330591266201578,high,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:46:00,Customer Care,Manual,India,Delhi
wl000119,CARD,4891775662056341,medium,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:47:00,AML Team,CRM,India,Chennai
wl000120,CARD,4204956121377301,high,ADD,LOST_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:48:00,Customer Care,External Feed,India,Hyderabad
wl000121,CARD,4707986617706734,critical,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:51:00,Customer Care,External Feed,India,Pune
wl000122,CARD,4054119986798070,low,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:54:00,Fraud Team,External Feed,India,Mumbai
wl000123,CARD,5951003076205456,high,ADD,VELOCITY_FRAUD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:56:00,AML Team,External Feed,India,Hyderabad
wl000124,CARD,4801963045306936,medium,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:57:00,Fraud Team,Manual,India,Pune
wl000125,CARD,5642364281319097,high,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:58:00,Fraud Team,AML,India,Pune
wl000126,CARD,5701765636004126,medium,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:59:00,SOC,AML,India,Delhi
wl000127,CARD,5627365271727227,medium,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:01:00,Fraud Team,AML,India,Bengaluru
wl000128,CARD,5974014890250391,high,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:02:00,Customer Care,AML,India,Pune
wl000129,CARD,4614933163735166,high,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:08:00,Customer Care,CRM,India,Chennai
wl000130,CARD,4882603359101578,high,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:13:00,SOC,AML,India,Hyderabad
wl000131,CARD,4558243017646442,high,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:18:00,AML Team,CRM,India,Delhi
wl000132,CARD,4539354358644964,high,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:23:00,Customer Care,CRM,India,Chennai
wl000133,CARD,4495528938911901,low,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:30:00,AML Team,Manual,India,Pune
wl000134,CARD,4693792374740745,critical,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:31:00,Customer Care,AML,India,Bengaluru
wl000135,CARD,4341678127782215,high,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:33:00,SOC,CRM,India,Delhi
wl000136,CARD,4666641106541135,medium,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:39:00,Customer Care,AML,India,Hyderabad
wl000137,CARD,4661963990767693,medium,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:42:00,SOC,External Feed,India,Hyderabad
wl000138,CARD,4391114281785223,high,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:44:00,Fraud Team,CRM,India,Pune
wl000139,CARD,5772459928161583,critical,ADD,VELOCITY_FRAUD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:48:00,Customer Care,AML,India,Hyderabad
wl000140,CARD,4666641106541135,high,ADD,VELOCITY_FRAUD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:49:00,AML Team,External Feed,India,Hyderabad
wl000141,CARD,4171467741862560,high,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:55:00,SOC,Manual,India,Hyderabad
wl000142,CARD,4983342337209489,critical,ADD,BLACKLISTED_MERCHANT,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:56:00,SOC,External Feed,India,Delhi
wl000143,CARD,5080850960858747,medium,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 16:00:00,SOC,Manual,India,Hyderabad
wl000144,CARD,4998935449268310,low,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 16:03:00,Fraud Team,AML,India,Hyderabad
wl000145,CARD,5648628720319547,critical,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 16:08:00,Fraud Team,CRM,India,Delhi
wl000146,CARD,4832060385050646,low,ADD,VELOCITY_FRAUD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 16:09:00,SOC,External Feed,India,Mumbai
wl000147,CARD,5116162028123710,low,ADD,BLACKLISTED_MERCHANT,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 16:10:00,Fraud Team,Manual,India,Delhi
wl000148,CARD,5332470739201352,high,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 16:11:00,Fraud Team,External Feed,India,Chennai
wl000149,CARD,4401659953006228,high,ADD,BLACKLISTED_MERCHANT,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 16:12:00,SOC,Manual,India,Hyderabad
wl000150,CARD,5314986430098180,high,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 16:13:00,Fraud Team,Manual,India,Hyderabad
wl000151,CARD,5627365271727227,critical,ADD,SUSPICIOUS_ACTIVITY,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 16:14:00,Customer Care,CRM,India,Chennai
wl000152,CARD,4833258486899932,medium,ADD,SUSPICIOUS_ACTIVITY,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 16:15:00,AML Team,External Feed,India,Chennai
wl000153,CARD,5562531355251051,low,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 16:21:00,Customer Care,Manual,India,Hyderabad
wl000154,CARD,5650977539673795,medium,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 16:22:00,AML Team,AML,India,Bengaluru
